交易日期,股票代码,股票名称,是否交易,下日_是否交易,下日_开盘涨停,下日_一字涨停,下日_开盘跌停,下日_一字跌停,下日_是否ST,下日_是否退市,下日_开盘买入涨跌幅,总市值,流通市值,换手率,振幅1,振幅2,本周期涨跌幅,下周期每天涨跌幅
2007-02-16,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.0618238021638331,18215255038.5,9323680879.5,0.16490032401049426,0.36721991701244794,0.08612804830051178,0.18181818181818143,"[0.056923076923076854, -0.09461426491994185, 0.05787781350482324, -0.045592705167173175, 0.0031847133757960666]"
2007-03-02,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.0023041474654378336,95589675199.1,29243180313.0,0.11183129150102027,0.3759106362311804,0.06905359806405677,-0.13103721298495652,"[-0.013667425968109326, 0.0900692840646653, 0.012711864406779627, 0.010460251046025215, 0.027743271221532195]"
2007-03-02,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,-0.01754385964912275,17654785652.7,9036798390.9,0.17362485618579102,0.4502074688796678,0.08599122431997766,-0.026275115919629055,"[-0.022222222222222143, -0.0032467532467532756, 0.019543973941368087, 0.006389776357827559, 0.007936507936507908]"
2007-03-09,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.032258064516129115,108088188540.0,33066776098.8,0.10608561189995486,0.270033997085964,0.06202486644070746,0.14377880184331837,"[-0.033037872683319924, -0.016249999999999987, -0.029648454044896244, 0.05237887385421214, -0.04147656574035674]"
2007-03-09,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.02314814814814814,17794902999.2,9108519013.05,0.11893006134674175,0.4502074688796678,0.06824524870074464,0.012759170653907637,"[0.04409448818897643, -0.009049773755656076, -0.031963470319634646, -0.0015723270440252124, -0.011023622047244053]"
2007-03-16,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.12206988058381252,100641339128.0,30788605787.4,0.06786280676129451,0.2346553352219074,0.054302462800847565,-0.06814516129032278,"[0.09779316313284303, -0.01340165549862038, 0.04554534558529766, 0.004203286205578971, -0.019786910197869045]"
2007-03-16,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.03499999999999992,17687347253.3,9096718681.24,0.1552108161717428,0.2755474452554745,0.05757312899153616,-0.030864197530864113,"[-0.011146496815286677, 0.009661835748792313, -0.009569377990430561, 0.009661835748792313, 0.027113237639553533]"
2007-03-23,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.033199999999999896,112181778275.0,34319103638.4,0.1359015148572057,0.2573182247403216,0.05804119726171945,0.13931888544891669,"[0.0027173913043476716, -0.02013162988772743, 0.024891347293559907, 0.028912875867386223, 0.00112401648557503]"
2007-03-23,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.01393188854489158,18137980304.4,9328482214.52,0.10526474140365041,0.18274111675126936,0.05376313766470921,0.07333333333333347,"[0.017080745341614856, -0.004580152671755711, 0.04447852760736204, -0.027900146842878004, -0.03474320241691853]"
2007-03-30,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.0423791821561339,116362465664.0,35598076444.8,0.091687930893153,0.33584905660377395,0.05512001974348849,0.06879999999999997,"[0.04940119760479034, -0.001783166904422262, 0.017506252232940334, 0.02141853932584259, -0.028875902371949147]"
